icao_code,iata_code,manufacturer,name,description,wtc,service_ceiling,absolute_ceiling,rate_of_climb,approach_speed,cruise_speed,maximum_speed,never_exceed_speed,fuselage_height,fuselage_width,height,length,wing_area,wingspan,main_rotor_area,main_rotor_diameter,fuel_capacity,operating_range,ferry_range,oew,auw,mlw,mrw,mtow,mzfw,type_certificate
A002,,Irkut,A-002,G1P,L,9800,,980,,97,110,,,,3.20,4.98,,,83.32,10.30,150,330,,420,,,,750,,
A1,,Douglas,A-1 Skyraider,L1P,M,28500,,2850,,172,280,,,,4.78,11.84,37.19,15.25,,,1400,1144,,5429,8213,,,,,
A10,,Fairchild,A-10 Thunderbolt II,L2J,M,13700,,6000,,300,381,450,,,4.47,16.26,47.00,17.53,,,3992,250,2240,11321,13782,,,22700,,
A109,,AgustaWestland,A.109,H2T,L,,,1930,,154,168,168,,,3.50,11.45,,,95.03,11.00,,,503,1590,,,,2850,,
A119,,AgustaWestland,AW119,H1T,L,15000,,1790,,132,,152,,,3.60,12.92,,,92.10,10.83,605,515,,1483,,,,2850,,
A122,,Aerotec,A-122 Uirapuru,L1P,L,14800,,790,,100,121,182,,,2.70,6.60,13.50,8.50,,,140,430,,540,,,,840,,
A124,A4F,Antonov,An-124 Ruslan,L4J,H,39000,,,124,460,467,,,,21.08,69.10,628.00,73.30,,,348740,6200,7600,181000,214000,330000,,402000,,
A129,,AgustaWestland,A.129,H2T,L,15500,,2010,,124,150,,,,3.35,12.28,,,111.20,11.90,,280,540,2530,,,,4600,,
A139,,AgustaWestland,AW139,H2T,L,20000,,2140,,165,167,,,,4.98,16.66,,,149.57,13.80,1568,573,,,6400,,,,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar006
A140,A40,Antonov,An-140,L2T,M,24900,,1344,230,310,,,,,8.23,22.61,51.00,24.51,,,5463,2000,,12810,,19100,,19150,17800,
A148,A81,Antonov,An-148,L2J,M,40000,,,,470,,,,,8.19,29.13,87.32,28.91,,,15063,2400,,22000,,,,43700,,
A149,,AgustaWestland,AW149,H2T,M,,,,,150,170,,,,5.14,17.57,,,167.41,14.60,,432,,,8600,,,,,
A158,A58,Antonov,An-158,L2J,M,40000,,,,470,,,,,8.20,30.83,,28.56,,,15063,1300,,22000,,,,43700,,
A169,,AgustaWestland,AW169,H2T,L,,,,,,165,165,,,4.50,14.65,,,115.37,12.12,,440,,,2850,,,4800,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar509
A178,,Antonov,An-178,L2J,M,43000,,,,445,530,,,,10.14,32.95,,28.84,,,,2500,,,,,,52400,,
A189,,AgustaWestland,AW189,H2T,M,10000,,,,150,169,,,,5.06,17.60,,,167.42,14.60,2063,430,,,8300,,,,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar510
A19,,Aeroprakt,A-19,L1P,L,,,500,,65,81,,,,2.50,6.50,,10.60,,,60,,,,,,,700,,
A19N,31N,Airbus,A319neo,L2J,M,39100,,,,450,473,,3.95,3.95,11.76,33.84,,35.80,,,26730,3750,,,,62800,64400,64000,58800,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa064
A20,,Douglas,A-20 Havoc,L2P,M,23700,,2000,,240,282,,,,5.52,14.63,43.10,18.68,,,1500,821,2000,7272,10944,,,,,
A20N,32N,Airbus,A320neo,L2J,M,39100,,,,450,473,,3.95,3.95,11.76,37.57,,35.80,,,26730,3500,,,,66300,73900,73500,62800,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa064
A21,,Aeroprakt,A-21 Solo,L1P,L,10000,,1000,,81,102,,,,1.80,4.70,,6.60,,,22,200,,,,,,300,,
A21N,32Q,Airbus,A321neo,L2J,M,39100,,,,450,473,,3.95,3.95,11.76,44.51,,35.80,,,32940,4000,,,,73500,83400,83000,69500,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa064
A22,,Sadler,A-22 Piranha,L1P,L,10500,,350,,,55,,,,1.42,5.33,10.80,8.83,,,,260,,114,250,,,,,
A225,A25,Antonov,An-225 Mriya,L6J,H,36000,,,,430,460,,,,18.10,84.00,905.00,88.40,,,375000,2500,8300,285000,,,,640000,,
A23,,Aeroprakt,A-23 Dragon,L1P,L,13000,,,,70,97,,,,2.40,7.50,,9.80,,,75,380,,,,,,600,,
A25,,Aeroprakt,A-25 Breeze,A1P,L,12000,,980,,93,111,,,,2.50,7.90,,10.60,,,195,600,,,,,,1200,,
A27,,Aeroprakt,A-27,L1P,L,12000,,,,80,111,,,,2.40,6.30,,10.60,,,80,600,,,,,,600,,
A270,,Aero Vodochody,Ae 270 Ibis,L1T,L,29990,,1710,,270,,,,,4.78,12.23,21.00,13.82,,,1170,1610,,2300,3700,,,,,
A29,,Avantage,A-29,L1P,L,10000,,1000,,80,100,,,,3.00,6.60,,10.10,,,,,,,,,,800,,
A3,,Douglas,A-3 Skywarrior,L2J,M,41000,,,,520,530,,,,6.95,23.27,75.40,22.10,,,,1825,2520,17876,31751,,,37195,,
A306,AB6,Airbus,A300-600,L2J,H,,,,137,450,,,5.64,5.64,16.66,54.08,260.00,44.84,,,66881,4050,,88505,,,,171700,,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa172
A30B,AB3,Airbus,A300B,L2J,H,,,,137,450,,,5.64,5.64,16.72,53.61,260.00,44.84,,,60588,2900,,88626,,,,165000,,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa172
A31,,Avantage,A-31 Spectrum,L1P,L,13000,,,,90,120,,,,2.70,7.90,,13.60,,,,,,,,,,1400,,
A310,310,Airbus,A310,L2J,H,41100,,,139,459,482,,5.64,5.64,15.80,46.66,219.00,43.90,,,,3500,,,,,,144000,,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa172
A318,318,Airbus,A318,L2J,M,39800,,,121,447,470,,3.95,3.95,12.79,31.45,122.40,34.10,,,24210,3100,,39500,,56000,59400,59000,53000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa064
A319,319,Airbus,A319,L2J,M,39100,,,126,447,470,,3.95,3.95,11.76,33.84,122.40,34.10,,,24210,3750,,40800,,61000,64400,64000,57000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa064
A320,320,Airbus,A320,L2J,M,39100,,,136,447,470,,3.95,3.95,11.76,37.57,122.40,34.10,,,24210,3300,,42600,,64500,73900,73500,60500,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa064
A321,321,Airbus,A321,L2J,M,39100,,,140,447,470,,3.95,3.95,11.76,44.51,128.00,34.10,,,24050,3200,,48500,,77300,89400,89000,73300,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa064
A33,,Aeroprakt,A-33 Dragon,L1P,L,12000,,1200,,108,140,,,,2.60,6.60,,9.50,,,130,800,,,,,,,,
A332,332,Airbus,A330-200,L2J,H,41450,,,136,470,,,5.64,5.64,17.38,58.82,361.60,60.30,,,139090,7250,,120600,,180000,,230000,168000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa004
A333,333,Airbus,A330-300,L2J,H,41450,,,137,470,,,5.64,5.64,16.83,63.66,361.60,60.30,,,139090,6350,,129400,,174000,,212000,164000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa004
A337,,Airbus,A330-743L Beluga XL,L2J,H,35200,,,,398,,,10.49,8.80,18.95,63.12,361.60,60.30,,,91250,2300,,127500,,187000,,227000,178000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa004
A338,338,Airbus,A330-800neo,L2J,H,41450,,,,,496,,5.64,5.64,17.38,58.82,465.00,64.00,,,139090,8150,,132000,,186000,,242000,172000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa004
A339,339,Airbus,A330-900neo,L2J,H,41450,,,,,496,,5.64,5.64,16.79,63.66,465.00,64.00,,,139090,7200,,135000,,191000,,242000,177000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa004
A342,342,Airbus,A340-200,L4J,H,41100,,,136,470,493,,5.64,5.64,16.83,59.39,363.10,60.30,,,138000,6700,,118000,,181000,,235500,169000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa015
A343,343,Airbus,A340-300,L4J,H,41450,,,138,470,493,,5.64,5.64,16.63,63.66,363.10,60.30,,,138000,7300,,131000,,186000,,235500,174000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa015
A345,345,Airbus,A340-500,L4J,H,41450,,,146,470,493,,5.64,5.64,17.11,67.33,437.30,63.45,,,219000,9000,,168000,,240000,,368000,225000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa015
A346,346,Airbus,A340-600,L4J,H,41450,,,153,470,493,,5.64,5.64,17.29,74.77,437.30,63.45,,,194375,7800,,174000,,265000,,365000,242000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa015
A35,,Avantage,A-35 Scanner,L1P,L,10000,,1200,,80,100,,,,3.00,6.70,,10.20,,,,480,,,,,,800,,
A359,359,Airbus,A350-900,L2J,H,43100,,,140,488,513,,6.09,5.96,17.05,66.80,,64.75,,,140795,8100,,142400,,205000,,268000,192000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa151
A35K,351,Airbus,A350-1000,L2J,H,41450,,,,488,513,,6.09,5.96,17.08,73.79,,64.75,,,158791,8700,,155000,,233000,,308000,220000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa151
A37,,Cessna,A-37 Dragonfly,L2J,L,41765,,6990,127,425,441,455,,,2.71,8.62,17.08,10.94,,,1920,400,879,2817,,,,6350,,
A388,388,Airbus,A380-800,L4J,H,43000,,,145,488,511,,,,24.09,72.72,,79.75,,,323546,8000,,277145,,386000,562000,560000,361000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa110
A3ST,ABB,Airbus,A300-600ST Beluga,L2J,H,35000,,,137,,450,,,,17.24,56.15,,44.84,,,23860,2501,,86500,,140000,155900,155000,130000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa014
A4,,Douglas,A-4 Skyhawk,L1J,M,,,5750,,,585,,,,4.62,12.23,24.00,8.38,,,,1008,2194,4469,7355,,,11113,,
A400,,Airbus Defence and Space,A400M Atlas,L4T,H,40000,,,,422,464,,,,14.70,45.10,225.10,42.40,,,63125,3450,4700,76500,120000,123000,,141000,,
A504,,Avro,504,L1P,L,16000,,700,,64,83,,,,3.18,8.97,31.00,10.97,,,116,250,,558,830,,,,,
A6,,Grumman,A-6 Intruder,L2J,M,42400,,4620,,412,560,700,,,4.93,16.69,49.14,16.15,,,9030,878,2818,12093,,,,27397,,
A743,,Antonov,An-74-300,L2J,M,33136,,,,324,378,,,,8.65,28.07,98.62,31.89,,,,,,19050,34500,,,,,
A748,HS7,Hawker Siddeley,HS 748,L2T,M,25000,,,94,244,,,,,7.57,20.42,77.00,31.23,,,6500,926,,12304,,,,21092,,
AA1,,Grumman American,AA-1,L1P,L,13750,,765,66,108,120,169,,,2.07,5.87,9.11,7.46,,,,424,,461,,,,680,,
AA37,,Aeroprakt,A-37,L2P,L,,,,,,,,,,3.70,7.20,,12.00,,,260,900,,,,,,1400,,
AA5,,Grumman American,AA-5,L1P,L,13800,,850,68,,143,,,,2.40,6.70,13.00,9.60,,,,686,,680,,,,1090,,
AB11,,Aero Boero,AB-115,L1P,L,,,1000,47,102,110,,,,2.10,7.27,16.47,10.72,,,130,,,530,,,,770,,
AB15,,Aero Boero,AB-150,L1P,L,,,,52,82,120,123,,,2.10,7.27,16.47,10.72,,,134,,,590,,,,1001,,
AB18,,Aero Boero,AB-180,L1P,L,23000,,,1025,109,121,132,,,2.05,7.08,17.41,10.78,,,200,640,,602,,,,890,,
AB95,,Aero Boero,AB-95,L1P,L,17100,,1000,34,86,111,,,,2.10,6.90,16.36,10.42,,,110,520,,422,,,,700,,
ADVN,,Adventure Air,Adventurer,A1P,L,15000,,1200,,110,137,,,,,7.77,16.63,10.92,,,230,850,,907,1512,,,,,
AEST,,Piper,PA-60 Aerostar,L2P,L,25000,,1840,104,210,266,,,,3.68,10.61,16.56,11.18,,,,890,,1939,2864,,,,,
AM3,,Aermacchi,AM.3 Bosbok,L1P,L,27600,,1400,,133,150,,,,2.72,8.73,19.04,11.73,,,,530,,1080,,,,1700,,
AMX,,AMX International,AMX,L1J,M,43000,,10260,,,569,,,,4.55,13.23,21.00,8.87,,,3555,480,1801,6700,10750,,,13000,,
AN12,ANF,Antonov,An-12,L4T,M,33500,,2000,127,310,360,,,,10.53,33.10,121.70,38.00,,,,3100,,28000,,,,61000,,
AN2,,Antonov,An-2,L1P,L,14800,,690,34,100,139,,,,4.10,12.40,71.52,18.20,,,1200,456,,3300,5440,,,,,
AN22,,Antonov,An-22 Antei,L4T,H,,,,,,400,,,,12.53,57.92,345.00,64.40,,,53750,5910,,114000,,,,250000,,
AN24,AN4,Antonov,An-24,L2T,M,27600,,375,,240,,,,,8.32,23.53,74.98,29.20,,,5550,1300,,13300,,,,21000,,
AN26,A26,Antonov,An-26,L2T,M,24600,,1600,121,240,,,,,8.58,23.80,,29.30,,,,1300,,15020,,,,24000,,
AN28,A28,Antonov,An-28,L2T,L,20000,,1640,,181,190,210,,,4.90,13.10,39.72,22.06,,,1960,737,,3900,,,,6500,,
AN3,,Antonov,An-3,L1T,L,14400,,980,,120,140,,,,4.23,14.00,71.51,18.18,,,,300,,,,,,5800,,
AN30,A30,Antonov,An-30,L2T,M,27200,,,,230,290,,,,8.32,24.26,75.00,29.20,,,,1420,,15590,,,,23000,,
AN32,A32,Antonov,An-32,L2T,M,31200,,,,250,290,,,,8.75,23.78,75.00,29.20,,,,1300,,16800,,,,27000,,
AN38,,Antonov,An-38,L2T,M,,,,,210,219,,,,4.60,15.67,,22.06,,,2763,890,,5300,,,,8800,,
AN70,,Antonov,An-70,L4T,M,39000,,4900,,400,420,,,,16.38,40.73,,44.06,,,,4300,,66230,,,,145000,,
AN72,AN7,Antonov,An-72,L2J,M,,,,97,,378,,,,8.65,28.07,98.62,31.89,,,,2336,,19050,34500,,,,,
AN8,,Antonov,An-8,L2T,M,31500,,1402,,260,330,,,,9.70,26.00,117.20,30.00,,,,1500,,21250,,,,40000,,
ANSN,,Avro,652 Anson,L2P,L,19000,,960,,137,163,,,,3.99,12.88,43.00,17.22,,,,570,,2438,,,,3629,,
AP20,,Aeroprakt,A-20 Vista,L1P,L,10000,,980,,76,86,,,,1.80,6.70,,11.40,,,38,210,,,,,,500,,
AP22,,Aeroprakt,A-22 Foxbat,L1P,L,12000,,1200,,95,102,,,,2.40,6.20,,9.50,,,90,500,,,,,,500,,
AP24,,Aeroprakt,A-24 Viking,A1P,L,10000,,780,,76,89,,,,2.40,7.10,,11.00,,,87,430,,,,,,800,,
AP26,,Aeroprakt,A-26 Vulcan,L2P,L,10000,,1900,,70,97,,,,1.90,6.70,,11.40,,,38,330,,,,,,600,,
AP28,,Aeroprakt,A-28 Victor,L2P,L,10000,,980,,81,130,,,,2.30,7.00,,12.30,,,180,800,,,,,,1000,,
AP32,,Aeroprakt,A-32 Vixxen,L1P,L,10000,,,,115,125,,,,2.20,6.20,,9.40,,,95,470,,,,,,600,,
AP36,,Aeroprakt,A-36 Super Vulcan,L2P,L,13000,,2100,,75,90,,,,2.30,7.10,,11.00,,,140,520,,,,,,800,,
AS32,,Airbus Helicopters,H215,H2T,M,16990,,1460,,150,,177,4.94,3.79,4.97,16.79,,,206.12,16.20,,460,,4660,,,,8600,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar002
AS50,,Airbus Helicopters,H125,H1T,M,15100,,1670,,132,,155,3.14,1.87,3.15,10.93,,,89.75,10.70,,357,,1174,,,,2250,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar008
AS55,,Airbus Helicopters,AS355 Écureuil 2,H2T,L,11200,,1280,,121,,150,3.14,1.87,3.14,10.93,,,89.75,10.69,,380,,1305,,,,2540,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar146
AS65,,Airbus Helicopters,AS365 Dauphin,H2T,L,19242,,1750,,,165,,3.27,3.17,4.06,13.73,,,111.98,11.94,,,447,2389,,,,4300,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar105
AT43,AT4,ATR,42-300,L2T,M,25000,,,104,270,,,,,7.59,22.67,54.50,24.57,,,5625,459,,10285,,16000,16170,16150,14800,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa084
AT44,,ATR,42-400,L2T,M,25000,,,104,261,,,,,7.59,22.67,54.50,24.57,,,5625,794,,11050,,17600,18070,17900,16300,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa084
AT45,AT5,ATR,42-500,L2T,M,25000,,,104,300,,,,,7.59,22.67,54.50,24.57,,,5625,716,,11550,,18300,18770,18600,16700,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa084
AT46,ATR,ATR,42-600,L2T,M,25000,,,,300,,,,,7.59,22.67,54.50,24.57,,,5625,716,,11550,,18300,18770,18600,16700,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa084
AT72,AT7,ATR,72-200,L2T,M,25000,,,114,280,,,,,7.65,27.17,61.00,27.05,,,,,,,,21350,21530,21500,19700,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa084
AT73,AT7,ATR,72-210,L2T,M,25000,,,,280,,,,,7.65,27.17,61.00,27.05,,,,,,,,21350,21530,21500,19700,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa084
AT75,,ATR,72-500,L2T,M,25000,,,,280,,,,,7.65,27.17,61.00,27.05,,,,,,,,21850,22180,22000,20000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa084
AT76,,ATR,72-600,L2T,M,25000,,1355,,280,,,,,7.65,27.17,61.00,27.05,,,6250,825,,13311,,21850,22180,22000,20000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa084
ATP,ATP,British Aerospace,ATP,L2T,M,25000,,,,268,,,,,7.14,26.00,78.30,30.63,,,6364,985,2200,13595,,,,22930,,
AVIN,,Avro,594/616 Avian,L1P,L,12500,,600,,78,91,,,,2.59,7.39,22.80,8.53,,,,310,,456,691,,,,,
B06,,Bell,206,H1T,L,13500,,1350,,,120,130,,,2.84,12.09,,,81.00,10.16,,374,,1057,,,,1520,,
B06T,,Bell,206LT TwinRanger,H2T,L,15000,,1540,,,116,,,,2.90,9.50,,,,,,330,,,,,,1500,,
